	max_occurrence	max_field	in_fields	not_in_fields	rel_013D a	rel_013E a	rel_013F a	rel_032@ a	rel_032W a	rel_041A a	rel_041A g	rel_044K a	rel_044K g	rel_044L a	rel_044N a	rel_044S a	rel_044Z a	rel_045D a	rel_045Q j
Postkoloniale Literatur	724.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.002361		0.001457		0.000461	0.000109				
Esperpento	18.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						4.9e-05		3.6e-05							
Hanswurstiade	6.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						4.2e-05		1.2e-05							
Parodos	10.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		2e-05							
Kommos	2.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								4e-06							
Verskomödie	4.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								8e-06							
Epode	8.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								1.6e-05							
Siedlerroman	1.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		2e-06							
Schauerdrama	11.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		2.2e-05							
Broadside ballad	8.0	044K a	['044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']								1.6e-05		5.1e-05					
Äsopische Fabel	17.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		3.4e-05							
Erotische Novelle	5.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						3.5e-05		1e-05							
Reimgebet	2.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		4e-06							
Novellette	7.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		1.4e-05							
Palinodie	4.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		8e-06							
Tischgespräch	13.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		2.6e-05		5.1e-05					
Kriegsprosa	22.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000153		3e-05		0.000256					
Runenlied	32.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								6.4e-05							
Jugendlied	14.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						7e-06		2.8e-05		0.000308	1.8e-05				
Zeitstück	11.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7.7e-05		8e-06		0.000103					
Gilgameschdichtung	11.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		2.2e-05		0.000103					
Weltliches Drama	5.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						3.5e-05		4e-06							
Religiöses Lied	48.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000118		9.7e-05							
Literaturbrief	2.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		2e-06							
Romancero	54.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000146		0.000109							
Werbungslied	1.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		2e-06							
Arbeiterdrama	1.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-06							
Revolutionsroman	20.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		4e-05		5.1e-05					
Rubāʿī	4.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								8e-06							
Nihonjinron	15.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						3.5e-05		3e-05							
Mantinada	2.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								4e-06							
Cycle classique	2.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		2e-06							
Adamsspiel	5.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		1e-05							
Dramenzyklus	7.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		1.4e-05							
Chanson de la mal mariée	2.0	041A a	['041A a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K a', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05				5.1e-05					
Patriotisches Drama	2.0	041A a	['041A a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05									
Langgedicht	39.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000132		7.8e-05		0.000103					
Minnebrief	4.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								8e-06							
Auto	6.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		1.2e-05							
Stasimon	9.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								1.8e-05							
Tugendspiegel	9.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		1.8e-05		0.000154					
Agon	12.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		2.4e-05		5.1e-05					
Exordium	3.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								6e-06							
Mahakawja	88.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		0.000177			1.8e-05				
Tiersage	515.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						4.9e-05		0.001036		0.000103					
Xiaoshuo	12.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		2.4e-05							
Kindermund	59.0	041A a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						0.000411		8e-05			3.6e-05				
Michiyuki	1.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		2e-06							
Sewa jōruri	1.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		2e-06							
Campu	11.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		2.2e-05							
Königsdrama	40.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						8.4e-05		8e-05		0.000154					
Volksepos	213.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000209		0.000429		0.000154					
Epicedium	333.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						9.8e-05		0.00067							
Mathnawi	51.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		0.000103							
Jambendichtung	14.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						5.6e-05		2.8e-05							
Erotisches Drama	3.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								6e-06							
Majinai-uta	3.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								6e-06							
Bauerndrama	5.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								1e-05							
Dorflyrik	3.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								6e-06							
Andachtslied	7.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						4.2e-05		1.4e-05		5.1e-05					
Zéjel	44.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		8.9e-05							
Philosophischer Roman	17.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		3.4e-05			0.000109				
Spielbuch	3102.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						3.5e-05		0.006242			0.000163				
Silva	6.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								1.2e-05							
Scharade	15.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		3e-05							
Ritterepos	16.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						5.6e-05		3.2e-05		0.000103					
Literatursatire	7.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		1.4e-05							
Laudatio	162.0	044K a	['013D a', '041A a', '044K a', '044L a', '044Z a']	['013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '045D a', '045Q j']	0.000151					0.000209		0.000326		0.000359			0.003774		
Humanistendrama	1.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-06							
Geschlechtersage	1.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-06							
Versschwank	3.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		6e-06							
Kolportageroman	6.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		1.2e-05		0.000154					
Mündliche Erzählung	244.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.001038		0.000491		0.000359	5.4e-05				
Bardenliteratur	17.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		3.4e-05							
Gong'an	2.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		4e-06							
Dialog	745.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000933		0.001499		0.001025	0.000109				
Maṅgala-Kawja	2.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								4e-06							
Dinggedicht	2.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		4e-06							
Stabreimdichtung	6.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		1.2e-05							
Versdichtung	1646.0	044K a	['041A a', '044K a', '044K g', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044S a', '044Z a', '045D a', '045Q j']						0.001595		0.003312	0.000362	0.000769	0.00058				
Experimentelle Kurzgeschichte	1.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		2e-06							
Büttenrede	11.0	041A a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						7.7e-05		6e-06			1.8e-05				
Poetologische Lyrik	29.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000202		4.4e-05		0.000513					
Funkerzählung	7.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		1.4e-05			1.8e-05				
Weltliche Lyrik	23.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		4.6e-05							
Tierwitz	5.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						3.5e-05		2e-06		0.000103					
Lebenslehre	5.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		1e-05		0.000154					
Gutenachtgeschichte	617.0	041A a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.004298		0.00066		0.004563	0.000435				
Poem	93.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000188		0.000187		0.000666					
Okzidentalisierende Literatur	16.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						3.5e-05		3.2e-05							
Pindarische Ode	2.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								4e-06							
Kürzestgeschichte	295.0	041A a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						0.002055		0.000306			9.1e-05				
Liebesklage	1.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-06							
Exillyrik	65.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000258		0.000131		0.000103					
Biografische Literatur	343.0	044K a	['013D a', '041A a', '044K a', '044L a', '044N a']	['013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']	5e-06					0.000933		0.00069		0.000769	5.4e-05				
Damaskine	3.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		2e-06							
Lüshi	5.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								1e-05							
Kriegsdrama	12.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		2.4e-05							
Galante Lyrik	2.0	044K a	['044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']								4e-06		0.000103					
Erotischer Roman	20.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						9.8e-05		4e-05			0.000272				
Schülerwitz	34.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000237		4.8e-05		0.000461					
Künstlererzählung	12.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		2.4e-05			3.6e-05				
Antikriegsliteratur	39.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000111		7.8e-05		0.000205	3.6e-05				
Novela bizantina	3.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								6e-06							
Jugendbuch	34878.0	013D a	['013D a', '013E a', '013F a', '041A a', '044K a', '044L a', '044N a', '044S a', '044Z a']	['032@ a', '032W a', '041A g', '044K g', '045D a', '045Q j']	0.083596	0.003802	2.4e-05			0.001588		0.00096		0.003948	0.01422	0.00797	0.005031		
Skas	10.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						5.6e-05		2e-05		0.000103					
Autobiografische Erzählung	38.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						7.7e-05		7.6e-05		0.000308	1.8e-05				
Konunga sögur	31.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						5.6e-05		6.2e-05							
Íslendinga sögur	883.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000355		0.001777		0.000154					
Fornaldar sögur	24.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						3.5e-05		4.8e-05							
Theaterstück	14064.0	013D a	['013D a', '041A a', '041A g', '044K a', '044L a', '044N a', '044Z a']	['013E a', '013F a', '032@ a', '032W a', '044K g', '044S a', '045D a', '045Q j']	0.033709					0.000355	7.5e-05	0.000388		0.000666	0.000254		0.006289		
Kinderbuch	66375.0	013D a	['013D a', '013F a', '041A a', '044K a', '044L a', '044N a', '044Z a']	['013E a', '032@ a', '032W a', '041A g', '044K g', '044S a', '045D a', '045Q j']	0.159089		1.2e-05			0.002961		0.002195		0.005998	0.029637		0.005031		
Humoristische Literatur	143.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000202		0.000288		5.1e-05	5.4e-05				
Humoristische Lyrik	106.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						0.00016		0.000213			3.6e-05				
Stotra	48.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-05		9.7e-05							
Abenteuerroman	112.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000397		0.000225		0.000103	0.000852				
Aphorismus	1353.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a', '045Q j']						0.002285		0.002722		0.002051	0.000308	0.001629			
Apophthegma	16.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000111		3e-05		0.000103					
Autobiografie	30277.0	013D a	['013D a', '013E a', '041A a', '044K a', '044L a', '044N a']	['013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']	0.072568	0.003802				0.009383		0.005451		0.00928	0.00078				
Ballade	677.0	044K a	['041A a', '044K a', '044L a', '044N a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044Z a', '045D a', '045Q j']						0.001825		0.001362		0.002461	0.000218	0.000484			
Bilderbuch	49241.0	013D a	['013D a', '013F a', '041A a', '044K a', '044L a', '044N a']	['013E a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']	0.118022		1.2e-05			0.002703		0.003771		0.003948	0.018029				
Boulevardtheater	16.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						9.8e-05		3.2e-05		5.1e-05					
Chanson	396.0	044K a	['032W a', '041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']					0.0125	0.000794		0.000797		0.00041	0.000236				
Chorlied	143.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000272		0.000288		0.000103					
